quantity,creator_id,created_at,updated_at,deleted_at,manufacture_product_id,manufacture_dept_id,task_id,order_id,receiver
300.000000,403,2022-11-05 08:08:35+00:00,2022-11-05 08:08:35+00:00,,398,2,112.0,2108,TRANG TP
300.000000,403,2022-11-05 08:08:35+00:00,2022-11-05 08:08:35+00:00,,399,2,112.0,2108,TRANG TP
433.000000,403,2022-11-05 08:08:35+00:00,2022-11-05 08:08:35+00:00,,400,2,112.0,2108,TRANG TP
193.000000,403,2022-11-05 08:08:35+00:00,2022-11-05 08:08:35+00:00,,401,2,112.0,2108,TRANG TP
193.000000,403,2022-11-05 08:08:35+00:00,2022-11-05 08:08:35+00:00,,402,2,112.0,2108,TRANG TP
300.000000,403,2022-11-05 08:10:22+00:00,2022-11-05 08:10:22+00:00,,413,2,114.0,2107,TRANG TP
300.000000,403,2022-11-05 08:10:22+00:00,2022-11-05 08:10:22+00:00,,414,2,114.0,2107,TRANG TP
300.000000,403,2022-11-05 08:10:22+00:00,2022-11-05 08:10:22+00:00,,415,2,114.0,2107,TRANG TP
300.000000,403,2022-11-05 08:10:22+00:00,2022-11-05 08:10:22+00:00,,416,2,114.0,2107,TRANG TP
433.000000,403,2022-11-05 08:10:22+00:00,2022-11-05 08:10:22+00:00,,417,2,114.0,2107,TRANG TP
193.000000,403,2022-11-05 08:10:22+00:00,2022-11-05 08:10:22+00:00,,418,2,114.0,2107,TRANG TP
300.000000,403,2022-11-05 08:10:22+00:00,2022-11-05 08:10:22+00:00,,419,2,114.0,2107,TRANG TP
193.000000,403,2022-11-05 08:10:22+00:00,2022-11-05 08:10:22+00:00,,420,2,114.0,2107,TRANG TP
104.000000,393,2022-11-05 08:15:51+00:00,2022-11-05 08:15:51+00:00,,433,1,125.0,1933,Nàng TP
104.000000,393,2022-11-05 08:15:51+00:00,2022-11-05 08:15:51+00:00,,434,1,125.0,1933,Nàng TP
104.000000,393,2022-11-05 08:15:51+00:00,2022-11-05 08:15:51+00:00,,435,1,125.0,1933,Nàng TP
104.000000,393,2022-11-05 08:15:51+00:00,2022-11-05 08:15:51+00:00,,436,1,125.0,1933,Nàng TP
101.000000,393,2022-11-05 08:19:52+00:00,2022-11-05 08:19:52+00:00,,438,1,127.0,2035,Nàng TP
300.000000,403,2022-11-05 13:09:28+00:00,2022-11-05 13:09:28+00:00,,388,2,110.0,2109,TRANG TP
300.000000,403,2022-11-05 13:09:28+00:00,2022-11-05 13:09:28+00:00,,389,2,110.0,2109,TRANG TP
300.000000,403,2022-11-05 13:09:28+00:00,2022-11-05 13:09:28+00:00,,390,2,110.0,2109,TRANG TP
300.000000,403,2022-11-05 13:09:28+00:00,2022-11-05 13:09:28+00:00,,391,2,110.0,2109,TRANG TP
433.000000,403,2022-11-05 13:09:28+00:00,2022-11-05 13:09:28+00:00,,392,2,110.0,2109,TRANG TP
193.000000,403,2022-11-05 13:09:28+00:00,2022-11-05 13:09:28+00:00,,393,2,110.0,2109,TRANG TP
