product_id,product_code,product_unit_id,purchase_order_quantity,purchase_order_id,is_complete,amount,vnd_exchange_rate,vnd_exchange
102,1-CVAC08-WHI-00-HV,11801,1000.000000,224,1,2.800000,0.0,0.0
102,1-CVAC08-WHI-00-HV,11801,1000.000000,1373,1,2.800000,22800.0,63840.0
102,1-CVAC08-WHI-00-HV,11801,500.000000,823,1,2.800000,22800.0,63840.0
107,1-CVAC09-GRP-00-HV,11995,1000.000000,259,1,2.800000,22800.0,63840.0
127,1-CVAC13-NA1-00-HV,11402,1000.000000,173,1,2.800000,22800.0,63840.0
131,1-CVAC14-NAV-00-HV,12118,1000.000000,1643,1,2.800000,22800.0,63840.0
131,1-CVAC14-NAV-00-HV,12118,1000.000000,348,1,2.800000,22800.0,63840.0
137,1-CVAC16-PNK-00-HV,12124,1000.000000,1280,1,2.800000,22800.0,63840.0
171,1-CVAC32-BGE-00-HV,12158,1000.000000,1280,1,2.800000,22800.0,63840.0
187,1-CVAC36-SGR-00-HV,12174,1000.000000,1643,1,2.800000,22800.0,63840.0
194,1-CVAC40-VGO-00-HV,11434,1000.000000,6,1,2.800000,22800.0,63840.0
228,1-CVAC54-IVO-00-HV,11998,1000.000000,259,1,2.800000,22800.0,63840.0
235,1-CVAC57-OLI-00-HV,11999,1000.000000,259,0,2.800000,22800.0,63840.0
249,1-CVAC59-OSB-00-HV,12231,1000.000000,972,1,2.800000,22800.0,63840.0
249,1-CVAC59-OSB-00-HV,12231,1000.000000,606,1,2.800000,22800.0,63840.0
270,1-CVAC70-DGR-00-HV,12252,1000.000000,1018,1,2.800000,22800.0,63840.0
270,1-CVAC70-DGR-00-HV,12252,1000.000000,673,1,2.800000,22800.0,63840.0
295,1-THUNCO-HGR-00-JP,295,67.500000,1660,1,0.000000,22800.0,0.0
308,1-SUEDE0-BGE-00-TQ,12290,100.000000,1707,1,58000.000000,0.0,0.0
308,1-SUEDE0-BGE-00-TQ,12290,220.000000,529,1,58000.000000,0.0,0.0
308,1-SUEDE0-BGE-00-TQ,308,300.000000,187,1,58000.000000,0.0,0.0
316,1-SUEDE0-BLK-00-TQ,9855,500.000000,1707,0,58000.000000,0.0,0.0
316,1-SUEDE0-BLK-00-TQ,9855,300.000000,106,1,58000.000000,0.0,0.0
316,1-SUEDE0-BLK-00-TQ,9855,300.000000,680,1,58000.000000,0.0,0.0
316,1-SUEDE0-BLK-00-TQ,9855,330.000000,278,0,58000.000000,0.0,0.0
316,1-SUEDE0-BLK-00-TQ,9855,220.000000,1466,1,58000.000000,0.0,0.0
316,1-SUEDE0-BLK-00-TQ,9855,500.000000,561,1,58000.000000,0.0,0.0
318,1-SUEDE0-BLU-00-TQ,12299,110.000000,278,1,58000.000000,0.0,0.0
325,1-SUEDE0-BRO-00-TQ,12306,100.000000,1677,0,58000.000000,0.0,0.0
325,1-SUEDE0-BRO-00-TQ,325,100.000000,9,0,58000.000000,0.0,0.0
325,1-SUEDE0-BRO-00-TQ,12306,100.000000,680,1,58000.000000,0.0,0.0
333,1-SUEDE0-DBN-00-AK,333,5.000000,1689,1,60000.000000,0.0,0.0
341,1-SUEDE0-OLI-00-TQ,9853,200.000000,106,1,58000.000000,0.0,0.0
348,1-SUEDE0-GRY-00-TQ,9851,110.000000,1184,1,58000.000000,0.0,0.0
348,1-SUEDE0-GRY-00-TQ,9851,200.000000,106,1,58000.000000,0.0,0.0
367,1-SUEDE0-MIN-00-TQ,367,50.000000,187,0,58000.000000,0.0,0.0
368,1-SUEDE0-NAV-00-AK,368,5.000000,7,0,60000.000000,0.0,0.0
371,1-SUEDE0-NAB-00-TQ,12350,110.000000,278,1,58000.000000,0.0,0.0
371,1-SUEDE0-NAB-00-TQ,12350,110.000000,1144,1,58000.000000,0.0,0.0
371,1-SUEDE0-NAB-00-TQ,12350,110.000000,1638,0,58000.000000,0.0,0.0
371,1-SUEDE0-NAB-00-TQ,12350,100.000000,1707,1,58000.000000,0.0,0.0
382,1-SUEDE0-OSB-00-TQ,12361,110.000000,401,0,58000.000000,0.0,0.0
395,1-SUEDE0-RED-00-AK,395,50.000000,1568,1,60000.000000,0.0,0.0
395,1-SUEDE0-RED-00-AK,395,20.000000,982,1,60000.000000,0.0,0.0
401,1-SUEDE0-RSE-00-TQ,9852,200.000000,106,1,58000.000000,0.0,0.0
405,1-SUEDE0-SGR-00-TQ,9850,100.000000,1769,0,58000.000000,0.0,0.0
405,1-SUEDE0-SGR-00-TQ,9850,200.000000,106,0,58000.000000,0.0,0.0
405,1-SUEDE0-SGR-00-TQ,405,100.000000,9,1,58000.000000,0.0,0.0
407,1-SUEDE0-TAU-00-TQ,12384,110.000000,1184,1,58000.000000,0.0,0.0
407,1-SUEDE0-TAU-00-TQ,12384,100.000000,1047,1,58000.000000,0.0,0.0
407,1-SUEDE0-TAU-00-TQ,12384,110.000000,278,0,58000.000000,0.0,0.0
409,1-SUEDE0-TRQ-00-TQ,9854,110.000000,1428,1,58000.000000,0.0,0.0
409,1-SUEDE0-TRQ-00-TQ,409,50.000000,9,1,58000.000000,0.0,0.0
409,1-SUEDE0-TRQ-00-TQ,9854,110.000000,1184,1,58000.000000,0.0,0.0
409,1-SUEDE0-TRQ-00-TQ,9854,50.000000,106,1,58000.000000,0.0,0.0
415,9-CSA129-000-IN-SA,25735,512.000000,1503,1,0.000000,0.0,0.0
416,1-SUEDE0-WHI-00-TQ,12392,110.000000,1466,1,58000.000000,0.0,0.0
416,1-SUEDE0-WHI-00-TQ,12392,220.000000,278,0,58000.000000,0.0,0.0
420,9-CSA126-000-IN-SA,25732,170.000000,1503,1,0.000000,0.0,0.0
438,1-NY2571-QRY-00-HG,12414,500.000000,286,1,4.950000,22800.0,112860.0
443,1-NY2110-GRP-00-CO,12419,300.000000,430,1,3.110000,22800.0,70908.0
462,1-NY3798-CRM-00-EV,11732,1000.000000,218,0,2.800000,22800.0,63840.0
462,1-NY3798-CRM-00-EV,11732,1100.000000,1510,0,2.800000,22800.0,63840.0
462,1-NY3798-CRM-00-EV,11732,350.000000,794,1,3.100000,22800.0,70680.0
462,1-NY3798-CRM-00-EV,11732,1000.000000,323,1,2.800000,22800.0,63840.0
465,1-NY3798-JUN-00-EV,11733,1000.000000,218,1,2.800000,22800.0,63840.0
469,1-NY3798-MNR-00-EV,11734,1000.000000,323,1,2.800000,22800.0,63840.0
469,1-NY3798-MNR-00-EV,11734,1400.000000,1510,0,2.800000,22800.0,63840.0
469,1-NY3798-MNR-00-EV,11734,2000.000000,218,0,2.800000,22800.0,63840.0
471,1-NY3798-TIM-00-EV,11735,1300.000000,1510,0,2.800000,22800.0,63840.0
471,1-NY3798-TIM-00-EV,11735,1500.000000,218,1,2.800000,22800.0,63840.0
476,1-NY3798-QRY-00-EV,12448,500.000000,323,0,2.800000,22800.0,63840.0
493,1-NY1338-TAN-00-BT,12465,500.000000,518,0,3.720000,22800.0,84816.0
506,1-NY0086-DVO-00-UL,12478,400.000000,1512,0,2.900000,22800.0,66120.0
510,1-NY0086-OPA-00-UL,12482,200.000000,1512,0,2.900000,22800.0,66120.0
510,1-NY0086-OPA-00-UL,12482,2000.000000,365,1,2.900000,0.0,0.0
517,1-NY0086-SAW-00-UL,11853,1000.000000,235,0,2.900000,22800.0,66120.0
517,1-NY0086-SAW-00-UL,11853,1850.000000,1512,0,2.900000,22800.0,66120.0
517,1-NY0086-SAW-00-UL,11853,500.000000,365,1,2.900000,0.0,0.0
521,1-NY0086-VRB-00-UL,12492,200.000000,1512,0,2.900000,22800.0,66120.0
572,1-NY0946-PBK-00-HG,12543,3000.000000,390,1,3.920000,22800.0,89376.0
585,1-NY1132-ASP-00-HG,17063,200.000000,856,1,2.790000,22800.0,63612.0
585,1-NY1132-ASP-00-HG,12556,700.000000,1499,0,2.790000,22800.0,63612.0
585,1-NY1132-ASP-00-HG,12556,2000.000000,511,1,2.790000,22800.0,63612.0
587,1-NY1132-BLK-00-HG,12558,3000.000000,511,1,2.790000,22800.0,63612.0
587,1-NY1132-BLK-00-HG,12558,300.000000,1123,1,2.790000,22800.0,63612.0
594,1-NY1132-BLM-00-HG,12565,600.000000,1499,0,2.790000,22800.0,63612.0
603,1-NY1132-CRN-00-HG,12574,800.000000,1499,0,2.790000,22800.0,63612.0
603,1-NY1132-CRN-00-HG,12574,500.000000,511,1,2.790000,22800.0,63612.0
609,1-NY1132-CHA-00-HG,11718,700.000000,964,1,2.790000,22800.0,63612.0
609,1-NY1132-CHA-00-HG,11718,3200.000000,1499,0,2.790000,22800.0,63612.0
609,1-NY1132-CHA-00-HG,11718,6000.000000,511,1,2.790000,22800.0,63612.0
