quantity,created_at,updated_at,deleted_at,production_tracking_id,order_id,prod_not_exist_order_id,working_time_id,manufacture_dept_id,target_quantity
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,3,10,0.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,4,10,0.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,5,10,0.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,6,10,0.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,7,10,0.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,8,10,0.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,9,10,0.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,10,10,55.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,11,10,55.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,12,10,55.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,13,10,55.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,14,10,55.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,15,10,14.00
0.00,2022-10-22 03:00:00+00:00,2022-10-22 03:00:00+00:00,,4,,4.0,16,10,0.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,1,7,0.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,2,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,3,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,4,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,5,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,6,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,7,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,8,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,9,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,10,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,11,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,12,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,13,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,14,7,110.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,15,7,28.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,5,,1.0,16,7,0.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,1,8,0.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,2,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,3,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,4,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,5,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,6,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,7,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,8,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,9,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,10,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,11,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,12,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,13,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,14,8,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,15,8,14.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,6,,2.0,16,8,0.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,1,9,0.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,2,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,3,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,4,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,5,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,6,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,7,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,8,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,9,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,10,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,11,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,12,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,13,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,14,9,50.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,15,9,13.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,7,,3.0,16,9,0.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,1,10,0.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,2,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,3,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,4,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,5,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,6,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,7,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,8,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,9,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,10,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,11,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,12,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,13,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,14,10,55.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,15,10,14.00
0.00,2022-10-23 03:00:00+00:00,2022-10-23 03:00:00+00:00,,8,,4.0,16,10,0.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,1,6,0.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,2,6,0.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,3,6,0.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,4,6,0.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,5,6,0.00
5.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,6,6,8.00
53.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,7,6,55.00
57.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,8,6,55.00
41.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,9,6,55.00
1.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,10,6,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,11,6,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,12,6,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,13,6,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,14,6,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,15,6,14.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,9,,5.0,16,6,0.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,1,7,0.00
88.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,2,7,110.00
95.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,3,7,110.00
76.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,4,7,110.00
133.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,5,7,110.00
188.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,6,7,110.00
158.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,7,7,110.00
169.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,8,7,110.00
110.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,9,7,110.00
